"start";"end";"today";"username";"deviceid";"intervencion_id";"Tipo_carta";"id_operador";"ID_Carta";"Agencias_rda";"geo_ref_RDA";"_geo_ref_RDA_latitude";"_geo_ref_RDA_longitude";"_geo_ref_RDA_altitude";"_geo_ref_RDA_precision";"Punto_1";"Punto_4";"Punto_7";"__version__";"cartas_asociadas";"seguimiento_rda";"Enc_reactiva_1";"Enc_reactiva_1a";"Enc_reactiva_2";"Enc_reactiva_3";"Enc_reactiva_4";"Enc_reactiva_5";"Enc_reactiva_6";"op_frio_1";"Punto_2";"Punto_3";"Punto_5";"Punto_6";"_index"
"2024-08-08T15:26:53.660-03:00";"2024-08-08T15:28:12.614-03:00";"2024-08-08";"labalo";"collect:iUpiKxTXmsRWkN3u";"054d49f7";"1";"101";"1105915";"1";"-34.5860805 -58.4040665 31.5 4.714";"-34.5860805";"-58.4040665";"31.5";"4.714";"";"";"";"";"";"";"sanchez_de_bustamante";"2388";"recoleta";"1";"3";"2";"2";"";"";"";"";"";"17"
"2024-08-08T15:29:47.183-03:00";"2024-08-08T15:34:17.572-03:00";"2024-08-08";"laparicio";"collect:LIrbEA8kk24qA8f2";"d14e1665";"1";"113";"1105689";"1";"";"";"";"";"";"";"";"";"";"";"";"cordoba_av";"0";"balvanera";"3";"3";"2";"2";"";"";"";"";"";"18"
"2024-08-08T15:35:43.671-03:00";"2024-08-08T15:37:01.012-03:00";"2024-08-08";"laparicio";"collect:LIrbEA8kk24qA8f2";"cc3cb512";"1";"113";"1105700";"1";"";"";"";"";"";"";"";"";"";"";"";"brasil_av";"0";"constitucion";"1";"3";"2";"2";"";"";"";"";"";"19"
"2024-08-08T15:21:32.073-03:00";"2024-08-08T15:36:59.438-03:00";"2024-08-08";"getchebehere";"collect:j12UvRTHA7s2D74i";"e0784dc9";"1";"173";"1105698";"1";"";"";"";"";"";"12";"2";"5";"";"";"";"hornos_gral";"580";"barracas";"4";"1";"";"";"2";"2";"1";"2";"2";"20"
"2024-08-08T15:37:44.750-03:00";"2024-08-08T15:38:47.663-03:00";"2024-08-08";"mbenitez";"collect:WXGrpocOojXhiCAS";"b17b4fb2";"1";"133";"1105905";"1";"";"";"";"";"";"";"";"";"";"";"";"garcia_teodoro";"0";"";"14";"3";"2";"2";"";"";"";"";"";"21"
"2024-08-08T15:36:37.210-03:00";"2024-08-08T15:37:39.070-03:00";"2024-08-08";"mbenitez";"collect:WXGrpocOojXhiCAS";"53853546";"1";"133";"1105802";"1";"";"";"";"";"";"";"";"";"";"";"";"diaz_cnel_av";"2288";"";"2";"3";"2";"2";"";"";"";"";"";"22"
"2024-08-08T15:39:30.048-03:00";"2024-08-08T15:41:00.978-03:00";"2024-08-08";"mbenitez";"collect:WXGrpocOojXhiCAS";"a1ccd218";"1";"133";"1105931";"1";"";"";"";"";"";"1";"2";"1";"";"";"";"diaz_cnel_av";"0";"";"14";"1";"";"";"2";"1";"1";"2";"2";"23"
"2024-08-08T15:47:08.649-03:00";"2024-08-08T15:48:33.454-03:00";"2024-08-08";"laparicio";"collect:LIrbEA8kk24qA8f2";"def0b109";"1";"113";"1105683";"1";"";"";"";"";"";"";"";"";"";"";"";"brasil_av";"1334";"constitucion";"1";"3";"2";"2";"";"";"";"";"";"24"
"2024-08-08T15:43:35.647-03:00";"2024-08-08T15:48:39.239-03:00";"2024-08-08";"dsalazar";"collect:zlst1IxMGpUv8iis";"7662d27a";"1";"256";"1105922";"1";"";"";"";"";"";"1";"2";"2";"";"";"";"metan";"0";"boedo";"5";"1";"";"";"2";"1";"1";"2";"1";"25"
"2024-08-08T15:48:54.984-03:00";"2024-08-08T15:50:05.841-03:00";"2024-08-08";"bjordan";"collect:Kq8RDKFnBtyQG7Nd";"917c3092";"1";"194";"1105969";"1";"";"";"";"";"";"";"";"";"";"";"";"freire_ramon_cap_gral";"1516";"";"99";"3";"1";"1";"";"";"";"";"";"26"
